COD_CURSO;CURSO;CURRICULO;COD_DISCIPLINA;DISCIPLINA;TIPO
13301100;ADMINISTRAÇÃO - D;1995;1301114;TEA(MARKETING CULTURAL);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301093;TEA(PLANEJAMENTO ESTRATEGICO);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301122;TEA(POLITICAS PUBLICAS;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301112;TEA(RESPONSAB. SOCIAL DAS ORGANIZACOES);Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301026;TEORIA GERAL ADMINISTRACAO I;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301027;TEORIA GERAL ADMINISTRACAO II;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301047;TOPICOS ESP. EM ADMINISTRACAO;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301070;ADM DE RECURSOS MATERIAIS E PATRIMONIAIS;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301066;ADMINISTRAÇÃO DA PRODUÇÃO I;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301067;ADMINISTRAÇÃO DA PRODUÇÃO II;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301060;ADMINISTRAÇÃO DE PEQUENAS EMPRESAS;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301068;ADMINISTRAÇÃO DE RECURSOS HUMANOS I;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301069;ADMINISTRAÇÃO DE RECURSOS HUMANOS II;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1411138;ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301032;ADMINISTRAÇÃO DE UNIVERSIDADE;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301057;ADMINISTRAÇÃO FINANCEIRA I;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301058;ADMINISTRAÇÃO FINANCEIRA II;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301051;ADMINISTRAÇÃO HOSPITALAR;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301064;ADMINISTRAÇÃO MERCADOLÓGICA I;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301065;ADMINISTRAÇÃO MERCADOLÓGICA II;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301029;ADMINISTRAÇÃO MUNICIPAL;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301031;ADMINISTRAÇÃO PÚBLICA;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301020;ADMINISTRAÇÃO RURAL;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301003;ANÁLISE DE CUSTOS;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301077;ANÁLISE DE INVESTIMENTOS;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304027;ATLETISMO - MASC;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304122;BASQUETE   MASC/FEM;Optativa
